x, y
2014-07-03 19:39:00, 511
2014-07-03 19:51:00, 528
2014-07-03 20:03:00, 597
2014-07-03 20:16:00, 496
2014-07-03 20:28:00, 578
2014-07-03 20:41:00, 522
2014-07-03 20:53:00, 620
2014-07-03 21:06:00, 520
2014-07-03 21:18:00, 555
2014-07-03 21:31:00, 524
2014-07-03 21:43:00, 556
2014-07-03 21:56:00, 504
2014-07-03 22:10:00, 547
2014-07-03 22:22:00, 572
2014-07-03 22:35:00, 508
2014-07-03 22:48:00, 546
2014-07-03 23:01:00, 512
2014-07-03 23:14:00, 528
2014-07-03 23:27:00, 516
2014-07-03 23:41:00, 474
2014-07-03 23:54:00, 465
2014-07-04 00:07:00, 411
2014-07-04 00:19:00, 453
2014-07-04 00:31:00, 418
2014-07-04 00:44:00, 390
2014-07-04 00:56:00, 388
2014-07-04 01:08:00, 331
2014-07-04 01:21:00, 286
2014-07-04 01:34:00, 262
2014-07-04 01:46:00, 262
2014-07-04 01:59:00, 215
2014-07-04 02:11:00, 219
2014-07-04 02:24:00, 209
2014-07-04 02:37:00, 176
2014-07-04 02:49:00, 181
2014-07-04 03:02:00, 151
2014-07-04 03:14:00, 158
2014-07-04 04:23:00, 106
2014-07-04 04:36:00, 120
2014-07-04 04:49:00, 115
2014-07-04 05:02:00, 122
2014-07-04 05:14:00, 141
2014-07-04 05:28:00, 117
2014-07-04 05:41:00, 140
2014-07-04 05:54:00, 147
2014-07-04 06:07:00, 163
2014-07-04 06:20:00, 183
2014-07-04 06:33:00, 202
2014-07-04 06:46:00, 228
2014-07-04 06:59:00, 227
2014-07-04 07:12:00, 247
2014-07-04 07:24:00, 301
2014-07-04 07:37:00, 297
2014-07-04 07:50:00, 321
2014-07-04 08:02:00, 375
2014-07-04 08:15:00, 393
2014-07-04 08:28:00, 419
2014-07-04 08:40:00, 518
2014-07-04 08:53:00, 460
2014-07-04 09:06:00, 629
2014-07-04 09:19:00, 628
2014-07-04 09:31:00, 705
2014-07-04 09:44:00, 740
2014-07-04 09:57:00, 727
2014-07-04 10:10:00, 756
2014-07-04 10:23:00, 807
2014-07-04 10:36:00, 764
2014-07-04 10:49:00, 816
2014-07-04 11:02:00, 785
2014-07-04 11:15:00, 781
2014-07-04 11:28:00, 796
2014-07-04 11:41:00, 725
2014-07-04 11:54:00, 749
2014-07-04 12:07:00, 808
2014-07-04 12:20:00, 847
2014-07-04 12:34:00, 712
2014-07-04 12:47:00, 858
2014-07-04 13:01:00, 724
2014-07-04 13:14:00, 740
2014-07-04 13:28:00, 681
2014-07-04 13:41:00, 787
2014-07-04 13:54:00, 896
2014-07-04 14:07:00, 792
2014-07-04 14:20:00, 841
2014-07-04 14:34:00, 743
2014-07-04 14:47:00, 774
2014-07-04 15:00:00, 1037
2014-07-04 15:13:00, 988
2014-07-04 15:27:00, 1049
2014-07-04 15:41:00, 1042
2014-07-04 15:55:00, 1042
2014-07-04 16:09:00, 1024
2014-07-04 16:23:00, 1029
2014-07-04 16:38:00, 867
2014-07-04 16:53:00, 894
2014-07-04 17:07:00, 832
2014-07-04 17:22:00, 766
2014-07-04 17:36:00, 794
2014-07-04 17:51:00, 707
2014-07-04 18:06:00, 777
2014-07-04 18:20:00, 757
2014-07-04 18:35:00, 748
2014-07-04 18:49:00, 790
2014-07-04 19:04:00, 632
2014-07-04 19:18:00, 651
2014-07-04 19:32:00, 620
2014-07-04 19:47:00, 541
2014-07-04 20:01:00, 562
2014-07-04 20:15:00, 574
2014-07-04 20:30:00, 533
2014-07-04 20:44:00, 580
2014-07-04 20:59:00, 532
2014-07-04 21:13:00, 569
2014-07-04 21:27:00, 523
2014-07-04 21:41:00, 587
2014-07-04 21:56:00, 550
2014-07-04 22:10:00, 667
2014-07-04 22:25:00, 571
2014-07-04 22:40:00, 578
2014-07-04 22:54:00, 563
2014-07-04 23:08:00, 556
2014-07-04 23:22:00, 554
2014-07-04 23:37:00, 509
2014-07-04 23:51:00, 564
2014-07-05 00:05:00, 522
2014-07-05 00:19:00, 415
2014-07-05 00:33:00, 444
2014-07-05 00:48:00, 382
2014-07-05 01:02:00, 427
2014-07-05 01:16:00, 377
2014-07-05 01:30:00, 320
2014-07-05 01:45:00, 289
2014-07-05 01:59:00, 290
2014-07-05 02:13:00, 287
2014-07-05 02:28:00, 230
2014-07-05 02:42:00, 218
2014-07-05 02:57:00, 181
2014-07-05 03:11:00, 179
2014-07-05 03:26:00, 148
2014-07-05 03:40:00, 152
2014-07-05 03:55:00, 109
2014-07-05 04:10:00, 120
2014-07-05 04:24:00, 104
2014-07-05 04:43:00, 110
2014-07-05 04:59:00, 90
2014-07-05 05:14:00, 84
2014-07-05 05:29:00, 90
2014-07-05 05:44:00, 84
2014-07-05 05:59:00, 86
2014-07-05 06:15:00, 94
2014-07-05 06:30:00, 104
2014-07-05 06:45:00, 113
2014-07-05 07:00:00, 109
2014-07-05 07:15:00, 129
2014-07-05 07:30:00, 140
2014-07-05 07:45:00, 153
2014-07-05 08:00:00, 167
2014-07-05 08:15:00, 181
2014-07-05 08:30:00, 209
2014-07-05 08:45:00, 224
2014-07-05 09:00:00, 225
2014-07-05 09:15:00, 251
2014-07-05 09:30:00, 279
2014-07-05 09:45:00, 298
2014-07-05 10:00:00, 318
2014-07-05 10:15:00, 339
2014-07-05 10:30:00, 362
2014-07-05 10:45:00, 365
2014-07-05 11:00:00, 356
2014-07-05 11:15:00, 364
2014-07-05 11:30:00, 430
2014-07-05 11:45:00, 424
2014-07-05 12:00:00, 483
2014-07-05 12:15:00, 447
2014-07-05 12:30:00, 419
2014-07-05 12:46:00, 384
2014-07-05 13:01:00, 414
2014-07-05 13:16:00, 411
2014-07-05 13:32:00, 388
2014-07-05 13:47:00, 376
2014-07-05 14:02:00, 355
2014-07-05 14:17:00, 357
2014-07-05 14:33:00, 330
2014-07-05 14:49:00, 375
2014-07-05 15:05:00, 351
2014-07-05 15:21:00, 363
2014-07-05 15:37:00, 370
2014-07-05 15:53:00, 351
2014-07-05 16:09:00, 357
2014-07-05 16:24:00, 369
2014-07-05 16:41:00, 318
2014-07-05 16:56:00, 349
2014-07-05 17:12:00, 372
2014-07-05 17:52:00, 339
2014-07-05 18:07:00, 327
2014-07-05 18:22:00, 347
2014-07-05 18:37:00, 319
2014-07-05 18:52:00, 319
2014-07-05 19:07:00, 321
2014-07-05 19:22:00, 318
2014-07-05 19:37:00, 304
2014-07-05 19:52:00, 307
2014-07-05 20:07:00, 305
2014-07-05 20:22:00, 301
2014-07-05 20:37:00, 292
2014-07-05 20:53:00, 297
2014-07-05 21:08:00, 347
2014-07-05 21:23:00, 329
2014-07-05 21:39:00, 295
2014-07-05 21:54:00, 319
2014-07-05 22:09:00, 350
2014-07-05 22:25:00, 364
2014-07-05 22:40:00, 346
2014-07-05 22:56:00, 361
2014-07-05 23:11:00, 379
2014-07-05 23:27:00, 365
2014-07-05 23:42:00, 371
2014-07-05 23:57:00, 357
2014-07-06 00:13:00, 298
2014-07-06 00:28:00, 312
2014-07-06 00:43:00, 293
2014-07-06 00:59:00, 289
2014-07-06 01:14:00, 267
2014-07-06 01:29:00, 262
2014-07-06 01:46:00, 225
2014-07-06 02:01:00, 237
2014-07-06 02:18:00, 189
2014-07-06 02:33:00, 158
2014-07-06 02:49:00, 125
2014-07-06 03:04:00, 160
2014-07-06 03:19:00, 140
2014-07-06 03:35:00, 117
2014-07-06 03:50:00, 111
2014-07-06 04:06:00, 87
2014-07-06 04:21:00, 87
2014-07-06 04:37:00, 76
2014-07-06 04:52:00, 70
2014-07-06 05:07:00, 69
2014-07-06 05:23:00, 64
2014-07-06 05:39:00, 62
2014-07-06 05:54:00, 68
2014-07-06 06:10:00, 64
2014-07-06 06:26:00, 72
2014-07-06 06:42:00, 91
2014-07-06 06:58:00, 81
2014-07-06 07:14:00, 88
2014-07-06 07:29:00, 105
2014-07-06 07:45:00, 99
2014-07-06 08:00:00, 128
2014-07-06 08:16:00, 134
2014-07-06 08:31:00, 140
2014-07-06 08:47:00, 169
2014-07-06 09:02:00, 205
2014-07-06 09:18:00, 200
2014-07-06 09:33:00, 229
2014-07-06 09:48:00, 243
2014-07-06 10:04:00, 259
2014-07-06 10:20:00, 282
2014-07-06 10:37:00, 329
2014-07-06 10:52:00, 350
2014-07-06 11:07:00, 362
2014-07-06 11:23:00, 353
2014-07-06 11:38:00, 355
2014-07-06 11:54:00, 360
2014-07-06 12:09:00, 402
2014-07-06 12:25:00, 358
2014-07-06 12:40:00, 378
2014-07-06 12:55:00, 375
2014-07-06 13:11:00, 359
2014-07-06 13:27:00, 438
2014-07-06 13:42:00, 425
2014-07-06 13:58:00, 383
2014-07-06 14:13:00, 422
2014-07-06 14:28:00, 404
2014-07-06 14:44:00, 381
2014-07-06 15:00:00, 361
2014-07-06 15:15:00, 413
2014-07-06 15:31:00, 347
2014-07-06 15:47:00, 355
2014-07-06 16:03:00, 369
2014-07-06 16:19:00, 332
2014-07-06 16:34:00, 350
2014-07-06 16:50:00, 348
2014-07-06 17:06:00, 328
2014-07-06 17:22:00, 291
2014-07-06 17:37:00, 410
2014-07-06 18:23:00, 349
2014-07-06 18:40:00, 305
2014-07-06 18:56:00, 356
2014-07-06 19:12:00, 359
2014-07-06 19:28:00, 355
2014-07-06 19:44:00, 396
2014-07-06 20:00:00, 422
2014-07-06 20:16:00, 400
2014-07-06 20:33:00, 395
2014-07-06 20:49:00, 470
2014-07-06 21:05:00, 437
2014-07-06 21:21:00, 415
2014-07-06 21:37:00, 555
2014-07-06 21:54:00, 478
2014-07-06 22:10:00, 494
2014-07-06 22:26:00, 498
2014-07-06 22:42:00, 483
2014-07-06 22:58:00, 474
2014-07-06 23:14:00, 487
2014-07-06 23:31:00, 441
2014-07-06 23:47:00, 480
2014-07-07 00:03:00, 450
2014-07-07 00:20:00, 396
2014-07-07 00:36:00, 400
2014-07-07 00:53:00, 334
2014-07-07 01:10:00, 325
2014-07-07 01:27:00, 297
2014-07-07 01:43:00, 280
2014-07-07 02:00:00, 233
2014-07-07 02:16:00, 220
2014-07-07 02:33:00, 184
2014-07-07 02:50:00, 160
2014-07-07 03:06:00, 157
2014-07-07 03:23:00, 131
2014-07-07 03:39:00, 122
2014-07-07 03:56:00, 136
2014-07-07 04:13:00, 116
2014-07-07 04:30:00, 122
2014-07-07 04:46:00, 123
2014-07-07 05:03:00, 119
2014-07-07 05:20:00, 131
2014-07-07 05:37:00, 129
2014-07-07 05:53:00, 141
2014-07-07 06:10:00, 182
2014-07-07 06:27:00, 183
2014-07-07 06:44:00, 206
2014-07-07 07:01:00, 249
2014-07-07 07:18:00, 243
2014-07-07 07:34:00, 314
2014-07-07 07:51:00, 302
2014-07-07 08:08:00, 389
2014-07-07 08:24:00, 478
2014-07-07 08:41:00, 498
2014-07-07 08:58:00, 537
2014-07-07 09:14:00, 666
2014-07-07 09:31:00, 734
2014-07-07 09:48:00, 744
2014-07-07 10:05:00, 804
2014-07-07 10:22:00, 848
2014-07-07 10:39:00, 961
2014-07-07 10:57:00, 892
2014-07-07 11:15:00, 846
2014-07-07 11:33:00, 930
2014-07-07 11:51:00, 945
2014-07-07 12:09:00, 934
2014-07-07 12:27:00, 974
2014-07-07 12:45:00, 996
2014-07-07 13:03:00, 953
2014-07-07 13:21:00, 895
2014-07-07 13:39:00, 931
2014-07-07 13:57:00, 935
2014-07-07 14:17:00, 778
2014-07-07 14:35:00, 856
2014-07-07 14:52:00, 904
2014-07-07 15:12:00, 828
2014-07-07 15:31:00, 824
2014-07-07 15:49:00, 800
2014-07-07 16:08:00, 837
2014-07-07 16:26:00, 910
2014-07-07 16:45:00, 836
2014-07-07 17:06:00, 782
2014-07-07 18:21:00, 730
2014-07-07 19:06:00, 677
2014-07-07 19:26:00, 634
2014-07-07 19:46:00, 607
2014-07-07 20:06:00, 557
2014-07-07 20:25:00, 605
2014-07-07 20:46:00, 557
2014-07-07 21:06:00, 534
2014-07-07 21:27:00, 612
2014-07-07 21:47:00, 704
2014-07-07 22:08:00, 653
2014-07-07 22:29:00, 625
2014-07-07 22:50:00, 654
2014-07-07 23:12:00, 673
2014-07-07 23:33:00, 649
2014-07-07 23:55:00, 579
2014-07-08 00:17:00, 566
2014-07-08 00:40:00, 503
2014-07-08 01:04:00, 427
2014-07-08 01:26:00, 411
2014-07-08 15:00:00, 434
2014-07-08 15:51:00, 921
2014-07-08 16:14:00, 846
2014-07-08 16:37:00, 852
2014-07-08 17:02:00, 812
2014-07-08 17:25:00, 798
2014-07-08 17:49:00, 862
2014-07-08 18:14:00, 767
2014-07-08 18:38:00, 698
2014-07-08 19:02:00, 695
2014-07-08 19:26:00, 592
2014-07-08 19:50:00, 597
2014-07-08 20:14:00, 633
2014-07-08 20:40:00, 679
2014-07-08 21:05:00, 611
2014-07-08 21:29:00, 653
2014-07-08 21:56:00, 616
2014-07-08 22:22:00, 592
2014-07-08 22:49:00, 622
2014-07-08 23:16:00, 563
2014-07-08 23:43:00, 611
2014-07-09 00:06:00, 519
2014-07-09 00:29:00, 451
2014-07-09 00:52:00, 425
2014-07-09 01:15:00, 380
2014-07-09 01:38:00, 276
2014-07-09 02:02:00, 259
2014-07-09 02:25:00, 255
2014-07-09 02:48:00, 218
2014-07-09 03:11:00, 174
2014-07-09 03:34:00, 170
2014-07-09 03:58:00, 138
2014-07-09 04:21:00, 130
2014-07-09 04:44:00, 123
2014-07-09 05:07:00, 130
2014-07-09 05:30:00, 137
2014-07-09 05:52:00, 167
2014-07-09 06:14:00, 211
2014-07-09 06:36:00, 211
2014-07-09 06:59:00, 230
2014-07-09 07:21:00, 294
2014-07-09 07:43:00, 319
2014-07-09 08:05:00, 392
2014-07-09 08:26:00, 500
2014-07-09 08:48:00, 540
2014-07-09 09:11:00, 625
2014-07-09 09:33:00, 764
2014-07-09 09:56:00, 740
2014-07-09 10:20:00, 729
2014-07-09 10:42:00, 822
2014-07-09 11:04:00, 828
2014-07-09 11:27:00, 806
2014-07-09 11:50:00, 790
2014-07-09 12:12:00, 800
2014-07-09 12:35:00, 759
2014-07-09 12:58:00, 790
2014-07-09 13:24:00, 745
2014-07-09 13:51:00, 805
2014-07-09 14:22:00, 704
2014-07-09 14:49:00, 727
2014-07-09 15:20:00, 835
2014-07-09 16:34:00, 851
2014-07-09 17:00:00, 835
2014-07-09 17:24:00, 827
2014-07-09 17:47:00, 781
2014-07-09 18:10:00, 737
2014-07-09 18:34:00, 697
2014-07-09 18:57:00, 685
2014-07-09 19:21:00, 630
2014-07-09 19:44:00, 645
2014-07-09 20:07:00, 609
2014-07-09 20:30:00, 613
2014-07-09 20:53:00, 600
2014-07-09 21:17:00, 635
2014-07-09 21:42:00, 563
2014-07-09 22:06:00, 531
2014-07-09 22:28:00, 549
2014-07-09 22:51:00, 540
2014-07-09 23:13:00, 545
2014-07-09 23:36:00, 570
2014-07-09 23:58:00, 540
2014-07-10 00:20:00, 464
2014-07-10 00:42:00, 410
2014-07-10 01:03:00, 426
2014-07-10 01:21:00, 311
2014-07-10 01:42:00, 301
2014-07-10 02:05:00, 244
2014-07-10 02:35:00, 202
2014-07-10 02:58:00, 182
2014-07-10 03:20:00, 175
2014-07-10 03:43:00, 138
2014-07-10 04:05:00, 123
2014-07-10 04:27:00, 118
2014-07-10 04:50:00, 115
2014-07-10 05:13:00, 124
2014-07-10 05:35:00, 138
2014-07-10 05:57:00, 159
2014-07-10 06:20:00, 175
2014-07-10 06:42:00, 213
2014-07-10 07:05:00, 262
2014-07-10 07:27:00, 288
2014-07-10 07:50:00, 325
2014-07-10 08:12:00, 417
2014-07-10 08:34:00, 471
2014-07-10 08:56:00, 545
2014-07-10 09:18:00, 688
2014-07-10 09:41:00, 722
2014-07-10 10:03:00, 782
2014-07-10 10:25:00, 792
2014-07-10 10:47:00, 790
2014-07-10 11:09:00, 790
2014-07-10 11:31:00, 796
2014-07-10 11:52:00, 882
2014-07-10 12:14:00, 844
2014-07-10 12:35:00, 811
2014-07-10 12:56:00, 780
2014-07-10 13:17:00, 889
2014-07-10 13:39:00, 836
2014-07-10 14:00:00, 877
2014-07-10 14:22:00, 797
2014-07-10 14:43:00, 835
2014-07-10 15:05:00, 761
2014-07-10 15:27:00, 752
2014-07-10 15:48:00, 784
2014-07-10 16:10:00, 682
2014-07-10 16:32:00, 735
2014-07-10 16:54:00, 696
2014-07-10 17:15:00, 782
2014-07-10 17:37:00, 701
2014-07-10 17:59:00, 741
2014-07-10 18:21:00, 728
2014-07-10 18:44:00, 650
2014-07-10 19:06:00, 651
2014-07-10 19:29:00, 588
2014-07-10 19:52:00, 586
2014-07-10 20:14:00, 548
2014-07-10 20:36:00, 563
2014-07-10 21:00:00, 610
2014-07-10 21:22:00, 618
2014-07-10 21:44:00, 586
2014-07-10 22:06:00, 636
2014-07-10 22:27:00, 638
2014-07-10 22:48:00, 618
2014-07-10 23:10:00, 585
2014-07-10 23:31:00, 570
2014-07-10 23:53:00, 526
2014-07-11 00:15:00, 511
2014-07-11 00:36:00, 509
2014-07-11 00:57:00, 420
2014-07-11 01:19:00, 380
2014-07-11 01:41:00, 369
2014-07-11 02:02:00, 304
2014-07-11 02:24:00, 265
2014-07-11 02:46:00, 245
2014-07-11 03:40:00, 173
2014-07-11 04:02:00, 140
2014-07-11 04:24:00, 138
2014-07-11 04:46:00, 147
2014-07-11 05:08:00, 151
2014-07-11 05:29:00, 170
2014-07-11 05:51:00, 173
2014-07-11 06:14:00, 205
2014-07-11 06:36:00, 244
2014-07-11 06:58:00, 290
2014-07-11 07:21:00, 321
2014-07-11 07:44:00, 366
2014-07-11 08:06:00, 455
2014-07-11 08:29:00, 491
2014-07-11 08:51:00, 592
2014-07-11 09:13:00, 704
2014-07-11 09:35:00, 785
2014-07-11 09:57:00, 810
2014-07-11 10:19:00, 859
2014-07-11 10:41:00, 850
2014-07-11 11:03:00, 801
2014-07-11 11:26:00, 830
2014-07-11 11:48:00, 1007
2014-07-11 12:10:00, 942
2014-07-11 12:32:00, 874
2014-07-11 12:55:00, 867
2014-07-11 13:16:00, 855
2014-07-11 13:39:00, 826
2014-07-11 14:00:00, 804
2014-07-11 14:23:00, 794
2014-07-11 14:45:00, 831
2014-07-11 15:07:00, 838
2014-07-11 15:30:00, 762
2014-07-11 15:54:00, 773
2014-07-11 16:17:00, 802
2014-07-11 16:40:00, 816
2014-07-11 17:03:00, 756
2014-07-11 17:26:00, 737
2014-07-11 17:48:00, 716
2014-07-11 18:10:00, 686
2014-07-11 18:32:00, 718
2014-07-11 18:54:00, 686
2014-07-11 19:16:00, 619
2014-07-11 19:38:00, 615
2014-07-11 20:04:00, 540
2014-07-11 20:30:00, 540
2014-07-11 20:52:00, 509
2014-07-11 21:14:00, 525
2014-07-11 21:37:00, 496
2014-07-11 21:59:00, 490
2014-07-11 22:21:00, 544
2014-07-11 22:43:00, 498
2014-07-11 23:05:00, 467
2014-07-11 23:26:00, 474
2014-07-11 23:48:00, 483
2014-07-12 00:10:00, 481
2014-07-12 00:31:00, 430
2014-07-12 00:53:00, 402
2014-07-12 01:15:00, 345
2014-07-12 01:36:00, 324
2014-07-12 01:59:00, 253
2014-07-12 02:21:00, 210
2014-07-12 02:43:00, 193
2014-07-12 03:05:00, 162
2014-07-12 03:53:00, 130
2014-07-12 04:14:00, 114
2014-07-12 04:36:00, 93
2014-07-12 04:58:00, 89
2014-07-12 05:19:00, 93
2014-07-12 05:41:00, 87
2014-07-12 06:03:00, 90
2014-07-12 06:25:00, 91
2014-07-12 06:46:00, 102
2014-07-12 07:08:00, 118
2014-07-12 07:30:00, 139
2014-07-12 07:52:00, 144
2014-07-12 08:14:00, 183
2014-07-12 08:36:00, 213
2014-07-12 08:57:00, 251
2014-07-12 09:19:00, 287
2014-07-12 09:41:00, 308
2014-07-12 10:02:00, 337
2014-07-12 10:24:00, 362
2014-07-12 10:45:00, 392
2014-07-12 11:07:00, 414
2014-07-12 11:28:00, 393
2014-07-12 11:49:00, 424
2014-07-12 12:13:00, 397
2014-07-12 12:37:00, 412
2014-07-12 12:58:00, 424
2014-07-12 13:20:00, 442
2014-07-12 13:41:00, 505
2014-07-12 14:03:00, 412
2014-07-12 14:25:00, 398
2014-07-12 14:47:00, 469
2014-07-12 15:09:00, 456
2014-07-12 15:32:00, 403
2014-07-12 15:55:00, 435
2014-07-12 16:19:00, 392
2014-07-12 16:42:00, 372
2014-07-12 17:05:00, 375
2014-07-12 17:28:00, 342
2014-07-12 17:52:00, 327
2014-07-12 18:16:00, 326
2014-07-12 18:38:00, 330
2014-07-12 19:00:00, 319
2014-07-12 19:23:00, 272
2014-07-12 19:45:00, 309
2014-07-12 20:07:00, 331
2014-07-12 20:30:00, 352
2014-07-12 20:53:00, 279
2014-07-12 21:14:00, 402
2014-07-12 21:38:00, 346
2014-07-12 22:01:00, 320
2014-07-12 22:25:00, 397
2014-07-12 22:49:00, 414
2014-07-12 23:13:00, 366
2014-07-12 23:36:00, 380
2014-07-12 23:58:00, 394
2014-07-13 00:21:00, 316
2014-07-13 00:44:00, 285
2014-07-13 01:06:00, 288
2014-07-13 01:28:00, 225
2014-07-13 01:51:00, 207
2014-07-13 02:14:00, 277
2014-07-13 02:36:00, 227
2014-07-13 02:59:00, 167
2014-07-13 03:22:00, 144
2014-07-13 03:47:00, 131
2014-07-13 04:10:00, 103
2014-07-13 04:33:00, 88
2014-07-13 04:58:00, 73
2014-07-13 05:22:00, 73
2014-07-13 05:45:00, 67
2014-07-13 06:09:00, 74
2014-07-13 06:33:00, 82
2014-07-13 06:57:00, 86
2014-07-13 07:20:00, 108
2014-07-13 07:44:00, 116
2014-07-13 08:07:00, 153
2014-07-13 08:32:00, 165
2014-07-13 08:56:00, 198
2014-07-13 09:19:00, 243
2014-07-13 09:45:00, 307
2014-07-13 10:11:00, 341
2014-07-13 10:39:00, 344
2014-07-13 11:05:00, 383
2014-07-13 11:31:00, 376
2014-07-13 11:57:00, 389
2014-07-13 12:23:00, 404
2014-07-13 12:51:00, 384
2014-07-13 13:17:00, 418
2014-07-13 13:44:00, 347
2014-07-13 14:10:00, 374
2014-07-13 14:36:00, 381
2014-07-13 15:02:00, 343
2014-07-13 15:27:00, 320
2014-07-13 15:51:00, 375
2014-07-13 16:15:00, 373
2014-07-13 16:38:00, 420
2014-07-13 17:02:00, 390
2014-07-13 17:25:00, 450
2014-07-13 17:48:00, 436
2014-07-13 18:12:00, 403
2014-07-13 18:35:00, 422
2014-07-13 18:58:00, 432
2014-07-13 19:20:00, 427
2014-07-13 19:44:00, 455
2014-07-13 20:07:00, 493
2014-07-13 20:32:00, 482
2014-07-13 20:56:00, 482
2014-07-13 21:21:00, 455
2014-07-13 21:45:00, 469
2014-07-13 22:09:00, 451
2014-07-13 22:32:00, 456
2014-07-13 22:54:00, 448
2014-07-13 23:17:00, 378
2014-07-13 23:40:00, 360
2014-07-14 00:03:00, 395
2014-07-14 00:25:00, 348
2014-07-14 00:48:00, 297
2014-07-14 01:10:00, 307
2014-07-14 01:33:00, 241
2014-07-14 01:55:00, 223
2014-07-14 02:19:00, 205
2014-07-14 02:42:00, 196
2014-07-14 03:05:00, 148
2014-07-14 03:28:00, 136
2014-07-14 03:52:00, 117
2014-07-14 04:55:00, 121
2014-07-14 05:17:00, 114
2014-07-14 05:39:00, 136
2014-07-14 06:02:00, 134
2014-07-14 06:24:00, 172
2014-07-14 06:46:00, 194
2014-07-14 07:08:00, 222
2014-07-14 07:30:00, 285
2014-07-14 07:52:00, 308
2014-07-14 08:14:00, 370
2014-07-14 08:35:00, 451
2014-07-14 08:57:00, 490
2014-07-14 09:19:00, 561
2014-07-14 09:41:00, 661
2014-07-14 10:04:00, 644
2014-07-14 10:25:00, 677
2014-07-14 10:47:00, 789
2014-07-14 11:10:00, 793
2014-07-14 11:32:00, 794
2014-07-14 11:54:00, 892
2014-07-14 12:17:00, 855
2014-07-14 12:40:00, 866
2014-07-14 13:02:00, 881
2014-07-14 13:24:00, 792
2014-07-14 13:46:00, 842
2014-07-14 14:09:00, 754
2014-07-14 14:31:00, 787
2014-07-14 14:54:00, 758
2014-07-14 15:17:00, 720
2014-07-14 15:39:00, 751
2014-07-14 16:02:00, 759
2014-07-14 16:25:00, 710
2014-07-14 16:47:00, 726
2014-07-14 17:11:00, 666
2014-07-14 17:34:00, 631
2014-07-14 17:56:00, 637
2014-07-14 18:19:00, 565
2014-07-14 18:41:00, 664
2014-07-14 19:04:00, 591
2014-07-14 19:26:00, 523
2014-07-14 19:48:00, 511
2014-07-14 20:11:00, 510
2014-07-14 20:33:00, 550
2014-07-14 20:54:00, 596
2014-07-14 21:17:00, 543
2014-07-14 21:38:00, 583
2014-07-14 22:11:00, 694
2014-07-14 22:29:00, 543
2014-07-14 22:44:00, 574
2014-07-14 22:54:00, 701
2014-07-14 23:45:00, 484
2014-07-15 00:37:00, 394
2014-07-15 01:11:00, 332
2014-07-15 01:37:00, 323
2014-07-15 01:58:00, 245
2014-07-15 02:11:00, 237
2014-07-15 02:43:00, 182
2014-07-15 03:15:00, 150
2014-07-15 13:02:00, 379
2014-07-15 13:34:00, 843
2014-07-15 14:05:00, 886
2014-07-15 17:05:00, 728
2014-07-15 18:37:00, 628
2014-07-15 18:47:00, 433
2014-07-15 19:04:00, 531
2014-07-15 19:16:00, 488
2014-07-15 19:33:00, 501
2014-07-15 19:46:00, 510
2014-07-15 20:01:00, 499
2014-07-15 20:17:00, 451
2014-07-15 20:32:00, 457
2014-07-15 20:47:00, 482
2014-07-15 21:03:00, 450
2014-07-15 21:18:00, 473
2014-07-15 21:30:00, 512
2014-07-15 21:44:00, 520
2014-07-15 21:59:00, 524
2014-07-15 22:15:00, 493
2014-07-15 22:30:00, 511
